FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5352;;;;Slimme verlichting;235538.946;576705.141;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59164114;53.17098137;POINT (235538.94569914025 576705.1412984027)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5351;;;;Slimme verlichting;235517.13;576668.765;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59130588;53.17065784;POINT (235517.1304991395 576668.7645984031)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5350;;;;Slimme verlichting;235544.24;576682.228;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59171456;53.17077473;POINT (235544.23949914024 576682.2281984042)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534f;;;;Slimme verlichting;235563.391;576690.93;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59200309;53.17085003;POINT (235563.39139913744 576690.9298984035)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534e;;;;Slimme verlichting;235589.923;576704.296;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59240311;53.17096613;POINT (235589.92289913772 576704.2961984036)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534d;;;;Slimme verlichting;235553.137;576713.265;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59185536;53.17105222;POINT (235553.13709913913 576713.2645984049)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534c;;;;Slimme verlichting;235567.426;576718.433;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59207028;53.17109651;POINT (235567.42579913858 576718.4328984021)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534b;;;;Slimme verlichting;235583.691;576727.857;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59231582;53.17117874;POINT (235583.69059913926 576727.8572984023)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-534a;;;;Slimme verlichting;235539.627;576742.499;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59166066;53.17131689;POINT (235539.6265991403 576742.498698403)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5349;;;;Slimme verlichting;235553.636;576748.628;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59187165;53.17136985;POINT (235553.6356991377 576748.6276984032)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5348;;;;Slimme verlichting;235597.038;576733.433;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59251678;53.17122682;POINT (235597.03799913762 576733.4326984051)
